uid,label,startUid,endUid
k_001,knows,p_001,p_002
k_002,knows,p_001,p_003
k_003,knows,p_002,p_004
k_004,knows,p_003,p_005
k_005,knows,p_004,p_006
k_006,knows,p_005,p_007
k_007,knows,p_006,p_008
k_008,knows,p_007,p_009
k_009,knows,p_008,p_010
k_010,knows,p_009,p_011
k_011,knows,p_010,p_012
k_012,knows,p_011,p_013
k_013,knows,p_012,p_014
k_014,knows,p_013,p_015
k_015,knows,p_014,p_016
k_016,knows,p_015,p_017
k_017,knows,p_016,p_018
k_018,knows,p_017,p_019
k_019,knows,p_018,p_020
k_020,knows,p_019,p_021
k_021,knows,p_020,p_022
k_022,knows,p_021,p_023
k_023,knows,p_022,p_024
k_024,knows,p_023,p_025
k_025,knows,p_024,p_001
k_026,knows,p_025,p_002
