uid,label,startUid,endUid,since
w_001,works_at,p_001,c_001,2021-03-15
w_002,works_at,p_002,c_001,2022-07-01
w_003,works_at,p_003,c_001,2020-11-20
w_004,works_at,p_004,c_002,2023-05-10
w_005,works_at,p_005,c_002,2024-01-08
w_006,works_at,p_006,c_002,2019-08-25
w_007,works_at,p_007,c_003,2022-02-14
w_008,works_at,p_008,c_003,2021-09-30
w_009,works_at,p_009,c_003,2023-11-11
w_010,works_at,p_010,c_004,2020-04-05
w_011,works_at,p_011,c_004,2024-03-01
w_012,works_at,p_012,c_004,2021-12-12
w_013,works_at,p_013,c_005,2022-06-18
w_014,works_at,p_014,c_005,2023-08-22
w_015,works_at,p_015,c_005,2020-01-01
w_016,works_at,p_016,c_006,2024-02-28
w_017,works_at,p_017,c_006,2021-07-07
w_018,works_at,p_018,c_006,2022-10-10
w_019,works_at,p_019,c_006,2023-04-15
w_020,works_at,p_020,c_007,2019-11-11
w_021,works_at,p_021,c_007,2024-05-20
w_022,works_at,p_022,c_007,2020-09-09
w_023,works_at,p_023,c_007,2021-05-05
w_024,works_at,p_024,c_001,2023-12-25
w_025,works_at,p_025,c_002,2022-08-08
